SKU,URLIMG,POS
BAN2553795,https://cdn.shopify.com/s/files/1/1039/4986/products/1_9d04c65b-8c56-44a9-b2d8-95f2c48c503f.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/10.jpg,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/2_92f76202-8da9-4804-93dc-1c3080f956e4.jpg,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/3_a6dbda7a-11f7-4a99-bade-cbc668bee49c.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/4_a9a8e61e-25aa-4ffe-8102-ba9649eb7fdd.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/5_e7e6f241-37d2-4a02-861a-69a07dee7942.jpg,6
BAN2563437,https://cdn.shopify.com/s/files/1/1039/4986/products/3c30c9f9-1320-4eb9-9cf8-db91311a385e.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/db36ccdb-e19f-4e1e-8712-b1420ab8a3de-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/a9d9ebaa-12de-45f8-8f4b-ac194905c100-Editada.png,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/53479d26-7e2d-4fa6-89df-7eb6139d03d0.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/69049005-ce24-4f7a-ab53-f7e8a7d61f76.jpg,5
,https://cdn.shopify.com/s/files/1/1039/4986/products/a9a14457-0f65-4f9e-b902-2f1433147e5c.jpg,6
,https://cdn.shopify.com/s/files/1/1039/4986/products/f2bd9e3f-474e-4139-8ed5-c751f4601e2b.jpg,7
,https://cdn.shopify.com/s/files/1/1039/4986/products/7c434787-983e-4018-814c-ded090123ad0.jpg,8
,https://cdn.shopify.com/s/files/1/1039/4986/products/150eb65d-1961-4ada-9e41-eb6f396cac47.jpg,9
,https://cdn.shopify.com/s/files/1/1039/4986/products/acd01b69-a50a-4095-8506-4bffdfffa59f.jpg,10
,https://cdn.shopify.com/s/files/1/1039/4986/products/69ed64d4-025c-49e1-bd73-aa187a127d2d.jpg,11
BAN1078209,https://cdn.shopify.com/s/files/1/1039/4986/products/8ebe6b87-cef0-48c7-851d-a7622b985277.jpg,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/527d34f9-d909-4702-a14a-1c35df0ebb53-Editada.png,2
BAN2566022,https://cdn.shopify.com/s/files/1/1039/4986/products/1_eae612e9-2296-43c3-a0ac-f9e1f40e9ce5.png,1
,https://cdn.shopify.com/s/files/1/1039/4986/products/3c1bf377-69c1-436b-899c-025c4566461f-Editada.png,2
,https://cdn.shopify.com/s/files/1/1039/4986/products/ae53b4f4-00b2-4e0e-9f9c-44e11ee8f84e-Editada.png,3
,https://cdn.shopify.com/s/files/1/1039/4986/products/35c04fb5-8d12-42fc-ab81-3c359ad3c1ad.jpg,4
,https://cdn.shopify.com/s/files/1/1039/4986/products/db0b905c-4b21-4e4f-9f85-a660a9f82791.jpg,5
